DATE,TOTALSL_DSPI
2014-01-01,0.24295482305690777393
2014-02-01,0.24280576313581704627
2014-03-01,0.24241778824654196672
2014-04-01,0.24283910690744090505
2014-05-01,0.24291514786493554019
2014-06-01,0.24301054970724751995
2014-07-01,0.24359721158855641380
2014-08-01,0.24368390978234728235
2014-09-01,0.24408738560623080956
2014-10-01,0.24381872953601288812
2014-11-01,0.24375757809773447884
2014-12-01,0.24448465294604337805
2015-01-01,0.24469310421171486978
2015-02-01,0.24455797475974774431
2015-03-01,0.24667478027630805409
2015-04-01,0.24750198338266756543
2015-05-01,0.24766409728759386151
2015-06-01,0.24887955250171050908
2015-07-01,0.24942498349332114379
2015-08-01,0.24985866674388134035
2015-09-01,0.25154597244111565767
2015-10-01,0.25218122289647807546
2015-11-01,0.25328492701151083288
2015-12-01,0.24426364518006077455
2016-01-01,0.24449438574402483779
2016-02-01,0.24558619582549750088
2016-03-01,0.24711411573360725903
2016-04-01,0.24807809879972931581
2016-05-01,0.24903573131418079860
2016-06-01,0.24990656135742430159
2016-07-01,0.25021452517522579550
2016-08-01,0.25106679931979989134
2016-09-01,0.25154286216324493769
2016-10-01,0.25166870246649018866
2016-11-01,0.25275853118473348561
2016-12-01,0.25303456611440857821
2017-01-01,0.25210571625819813600
2017-02-01,0.25208944579604964744
2017-03-01,0.25225811754556533885
2017-04-01,0.25210169394435351882
2017-05-01,0.25142183193072325893
2017-06-01,0.25230491495942552774
2017-07-01,0.25260411070768150958
2017-08-01,0.25242655469081075991
2017-09-01,0.25211778253596520575
2017-10-01,0.25261837553572261733
2017-11-01,0.25361394960887394243
2017-12-01,0.25372576698900516625
2018-01-01,0.25196741436043996382
2018-02-01,0.25173609088774072334
2018-03-01,0.25123670024927295388
2018-04-01,0.25040456310616878711
2018-05-01,0.25054544899205864386
2018-06-01,0.25002105313706532805
2018-07-01,0.25028233782793025406
2018-08-01,0.25038942322963452364
2018-09-01,0.25088775138619263320
2018-10-01,0.25087964983667047874
2018-11-01,0.25166399437678089618
2018-12-01,0.24978132301055964893
2019-01-01,0.25096463519634634822
2019-02-01,0.25119416441662830196
2019-03-01,0.25145008536608079667
2019-04-01,0.25244977933097870280
2019-05-01,0.25336829743532463342
2019-06-01,0.25395879128026909996
2019-07-01,0.25462774647191122315
2019-08-01,0.25383358362110282280
2019-09-01,0.25398072881241689492
2019-10-01,0.25395637245321737431
2019-11-01,0.25309860431768330103
2019-12-01,0.25493279373399901486
2020-01-01,0.25272323102282434757
2020-02-01,0.25198903303296125439
2020-03-01,0.25561999172965708483
2020-04-01,0.21881059071640749707
2020-05-01,0.22886265590324012428
2020-06-01,0.23278338893381857393
2020-07-01,0.23149581695489014844
2020-08-01,0.23900496726149306036
2020-09-01,0.23822573697702096494
2020-10-01,0.23928395415802148412
2020-11-01,0.24302054600712638860
2020-12-01,0.24229741144729681222
