DATE,T10YFF
2014-01-01,2.7866666666666667
2014-02-01,2.6421052631578947
2014-03-01,2.6442857142857143
2014-04-01,2.6152380952380952
2014-05-01,2.4719047619047619
2014-06-01,2.5028571428571429
2014-07-01,2.4509090909090909
2014-08-01,2.3309523809523810
2014-09-01,2.4457142857142857
2014-10-01,2.2154545454545455
2014-11-01,2.2305555555555556
2014-12-01,2.0859090909090909
2015-01-01,1.7650000000000000
2015-02-01,1.8615789473684211
2015-03-01,1.9290909090909091
2015-04-01,1.8104545454545455
2015-05-01,2.0730000000000000
2015-06-01,2.2350000000000000
2015-07-01,2.1940909090909091
2015-08-01,2.0252380952380952
2015-09-01,2.0376190476190476
2015-10-01,1.9457142857142857
2015-11-01,2.1442105263157895
2015-12-01,2.0109090909090909
2016-01-01,1.7226315789473684
2016-02-01,1.4055000000000000
2016-03-01,1.5281818181818182
2016-04-01,1.4385714285714286
2016-05-01,1.4400000000000000
2016-06-01,1.2672727272727273
2016-07-01,1.1085000000000000
2016-08-01,1.1608695652173913
2016-09-01,1.2357142857142857
2016-10-01,1.3620000000000000
2016-11-01,1.7370000000000000
2016-12-01,1.9561904761904762
2017-01-01,1.7775000000000000
2017-02-01,1.7636842105263158
2017-03-01,1.6952173913043478
2017-04-01,1.3915789473684211
2017-05-01,1.3972727272727273
2017-06-01,1.1450000000000000
2017-07-01,1.1625000000000000
2017-08-01,1.0530434782608696
2017-09-01,1.04700000000000000000
2017-10-01,1.2042857142857143
2017-11-01,1.1976190476190476
2017-12-01,1.1040000000000000
2018-01-01,1.1676190476190476
2018-02-01,1.4426315789473684
2018-03-01,1.3447619047619048
2018-04-01,1.1766666666666667
2018-05-01,1.2777272727272727
2018-06-01,1.0914285714285714
2018-07-01,0.97904761904761904762
2018-08-01,0.97434782608695652174
2018-09-01,1.0552631578947368
2018-10-01,0.96409090909090909091
2018-11-01,0.91800000000000000000
2018-12-01,0.56210526315789473684
2019-01-01,0.31380952380952380952
2019-02-01,0.27631578947368421053
2019-03-01,0.16714285714285714286
2019-04-01,0.11000000000000000000
2019-05-01,0.00227272727272727273
2019-06-01,-0.30150000000000000000
2019-07-01,-0.34363636363636363636
2019-08-01,-0.49863636363636363636
2019-09-01,-0.35300000000000000000
2019-10-01,-0.12318181818181818182
2019-11-01,0.25947368421052631579
2019-12-01,0.31190476190476190476
2020-01-01,0.20571428571428571429
2020-02-01,-0.07947368421052631579
2020-03-01,0.24454545454545454545
2020-04-01,0.60904761904761904762
2020-05-01,0.62400000000000000000
2020-06-01,0.65181818181818181818
2020-07-01,0.53000000000000000000
2020-08-01,0.55523809523809523810
2020-09-01,0.58952380952380952381
2020-10-01,0.69714285714285714286
2020-11-01,0.78315789473684210526
2020-12-01,0.84363636363636363636
