,LEI01,LEI02,LEI03,LEI04,LEI05,LEI06,LEI07,LEI08,LEI09,LEI10
DATE,AWHMAN,ICSA,ACDGNO,M06006USM156NNBR,NEWORDER,PERMIT,SP500,M2,T10YFF,ICS
2019-09-01,41.5,212750,38658,62,65187,1439,2982.156,15027.66,-0.353,93.2
2019-10-01,41.4,214250,38044,60,65642,1509,2977.675217,15154.65,-0.1231818182,95.5
2019-11-01,41.4,217600,37951,66,65189,1509,3104.9045,15253.7,0.2594736842,96.8
2019-12-01,41.4,225250,37451,72,65045,1453,3176.749524,15316.28,0.3119047619,99.3
2020-01-01,41.4,211250,36603,74,65765,1550,3278.202857,15408.7,0.2057142857,99.8
2020-02-01,41.7,212200,38205,85,64885,1478,3277.314211,15447.575,-0.07947368421,101
2020-03-01,41.3,2344000,30301,86,64103,1382,2652.393636,15910.38,0.2445454545,89.1
2020-04-01,38.5,4667750,13709,82,59872,1094,2761.975238,16961.825,0.609047619,71.8
2020-05-01,39.4,2148000,17478,75,61297,1246,2919.615,17829.95,0.624,72.3
2020-06-01,39.9,1476250,34092,69,64300,1296,3104.660909,18141.42,0.6518181818,78.1
2020-07-01,40.7,1384250,42501,70,66189,1542,3207.619091,18333.2,0.53,72.5
2020-08-01,41.1,918600,39936,73,67791,1522,3391.71,18373.96,0.5552380952,74.1
2020-09-01,41.2,851000,40228,72,68646,1589,3365.516667,18623.7,0.5895238095,80.4
2020-10-01,41.3,789200,39320,70,69626,1595,3418.701364,18727.7,0.6971428571,81.8
2020-11-01,41.3,735250,40227,64,70563,1696,3548.9925,18951.46,0.7831578947,76.9
2020-12-01,41.3,823000,41145,57,71619,1758,3695.31,19089.125,0.8436363636,80.7
